symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,Power_to_Weight_Ratio,Engine_Efficiency,Cylinder_Number,Total_Displacement,Length_to_Width_Ratio,Length_to_Height_Ratio,Width_to_Height_Ratio
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,0.0436457,0.935779817,4,108.6951474,2.667673716,3.252302026,1.219152855
2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,0.04072238,0.845588235,5,135.8689343,2.659638554,3.252302026,1.222836096
1,158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,0.038677918,0.808823529,5,135.8689343,2.698879552,3.459605027,1.281867145
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,0.04536617,1.06870229,5,130.8059435,2.698879552,3.447227191,1.277280859
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,0.04217119,0.935185185,4,107.756628,2.728395062,3.255985267,1.193370166
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,0.04217119,0.935185185,4,107.756628,2.728395062,3.255985267,1.193370166
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,0.044649446,0.737804878,6,164.6978017,2.728395062,3.255985267,1.193370166
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,0.043761302,0.737804878,6,164.6978017,2.728395062,3.255985267,1.193370166
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,0.032258065,0.786885246,3,60.4560464,2.339966833,2.652255639,1.133458647
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,0.037353255,0.777777778,4,89.70063526,2.451257862,2.998076923,1.223076923
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,0.036668413,0.777777778,4,89.70063526,2.496855346,3.053846154,1.223076923
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,0.036247335,0.755555556,4,89.50870908,2.465517241,3.096456693,1.255905512
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,0.036247335,0.755555556,4,89.50870908,2.465517241,3.096456693,1.255905512
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,0.047932331,1.040816327,4,97.7765767,2.465517241,3.096456693,1.255905512
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,0.034570412,0.755555556,4,89.50870908,2.465517241,3.108695652,1.260869565
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,0.034188034,0.755555556,4,89.50870908,2.465517241,3.108695652,1.260869565
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,0.034188034,0.755555556,4,89.50870908,2.465517241,3.108695652,1.260869565
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,0.034714004,0.721311475,4,121.2603745,2.702786378,2.919732441,1.080267559
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,0.051583067,0.929487179,4,158.7886591,2.612368024,3.450199203,1.320717131
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,0.033858727,0.630434783,4,90.71732376,2.262910798,2.846456693,1.257874016
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,0.041781198,0.826086957,4,90.71732376,2.262910798,2.846456693,1.257874016
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,0.032661949,0.759493671,4,81.6721947,2.34375,2.851711027,1.216730038
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,0.039175258,0.826086957,4,90.71732376,2.34375,2.851711027,1.216730038
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,0.038854806,0.826086957,4,90.71732376,2.34375,2.851711027,1.216730038
0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,0.037810945,0.826086957,4,90.71732376,2.553125,2.998165138,1.174311927
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,0.037549407,0.826086957,4,91.3418818,2.458528951,2.694682676,1.096054889
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,0.038461538,0.781818182,4,111.5973821,2.569018405,3.142589118,1.22326454
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,0.037570992,0.781818182,4,111.5973821,2.569018405,3.142589118,1.22326454
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,0.037326389,0.781818182,4,111.5973821,2.690184049,3.242144177,1.205175601
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,0.036256324,0.781818182,4,111.5973821,2.8064,3.242144177,1.155268022
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,0.040973631,0.918181818,4,111.5973821,2.690184049,3.242144177,1.205175601
1,107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,0.04361099,0.909090909,4,111.5973821,2.562121212,3.315686275,1.294117647
0,145,jaguar,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,0.043285785,0.682170543,6,258.9348087,2.867816092,3.78030303,1.318181818
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,0.035978836,0.747252747,4,90.85434118,2.478193146,2.940850277,1.186691312
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,0.035789474,0.747252747,4,90.85434118,2.478193146,2.940850277,1.186691312
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,0.035695538,0.747252747,4,90.85434118,2.478193146,2.940850277,1.186691312
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,0.03496144,0.747252747,4,90.85434118,2.598130841,3.083179298,1.186691312
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,0.034871795,0.747252747,4,93.87757433,2.598130841,3.083179298,1.186691312
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,0.035220126,0.68852459,4,122.3908546,2.673684211,3.310986965,1.238361266
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,0.034854772,0.68852459,4,122.3908546,2.673684211,3.203603604,1.198198198
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,0.035220126,0.68852459,4,122.3908546,2.673684211,3.310986965,1.238361266
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,0.034854772,0.68852459,4,122.3908546,2.673684211,3.203603604,1.198198198
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,0.034639175,0.68852459,4,122.3908546,2.673684211,3.203603604,1.198198198
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,0.04494382,0.857142857,4,140.3500737,2.647503782,3.216911765,1.215073529
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,0.034992888,0.672131148,5,183.2007818,2.715504979,3.378761062,1.244247788
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,0.0328,0.672131148,5,183.2007818,2.715504979,3.252129472,1.197614991
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,0.035193133,0.672131148,5,183.2007818,2.667140825,3.415300546,1.280510018
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,0.032625995,0.672131148,5,183.2007818,2.825662483,3.598579041,1.273534636
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,0.042062415,0.662393162,8,233.1813218,2.557446809,3.549212598,1.387795276
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,0.035453597,0.739130435,4,89.50870908,2.442546584,3.096456693,1.267716535
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,0.034979424,0.739130435,4,89.50870908,2.442546584,3.096456693,1.267716535
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,0.033932136,0.739130435,4,89.50870908,2.442546584,3.096456693,1.267716535
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,0.047552448,1.040816327,4,97.7765767,2.465517241,3.096456693,1.255905512
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,0.048945148,1.054545455,4,109.2306444,2.645259939,3.502024291,1.32388664
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,0.037800687,0.721311475,4,121.9875715,2.645259939,3.502024291,1.32388664
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,0.037209302,0.721311475,4,121.9875715,2.636085627,3.341085271,1.26744186
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,0.036590437,0.721311475,4,121.9875715,2.636085627,3.341085271,1.26744186
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0.048272992,1.054545455,4,109.2306444,2.636085627,3.341085271,1.26744186
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0.048272992,1.054545455,4,109.2306444,2.636085627,3.341085271,1.26744186
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,0.036527263,0.711340206,4,102.5573707,2.590909091,3.033027523,1.170642202
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,0.02726822,0.533980583,4,97.45894911,2.590909091,3.033027523,1.170642202
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,0.035974974,0.711340206,4,102.5573707,2.590909091,3.033027523,1.170642202
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,0.035603715,0.711340206,4,102.5573707,2.590909091,3.033027523,1.170642202
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,0.034090909,0.711340206,4,102.5573707,2.667711599,3.181308411,1.192523364
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,0.035366479,0.711340206,4,102.5573707,2.590909091,3.033027523,1.170642202
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,0.034023669,0.711340206,4,102.5573707,2.595611285,3.106941839,1.196998124
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,0.03500761,0.711340206,4,102.5573707,2.590909091,3.033027523,1.170642202
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,0.033873343,0.711340206,4,102.5573707,2.667711599,3.181308411,1.192523364
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,0.03436255,0.711340206,4,102.5573707,2.545454545,3.046904315,1.196998124
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,0.041738382,0.808333333,4,120.8837195,2.659509202,3.170018282,1.191956124
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,0.042137272,0.808333333,4,120.8837195,2.659509202,3.170018282,1.191956124
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,0.04911147,0.839779006,6,181.2913673,2.732330827,3.297640653,1.206896552
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,0.046116505,0.839779006,6,181.2913673,2.77593985,3.290552585,1.185383244
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,0.049673203,0.839779006,6,181.2913673,2.77593985,3.350272232,1.206896552
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,0.052100293,0.883977901,6,181.2913673,2.513991163,3.434607646,1.366197183
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,0.063714559,1.104972376,6,181.2913673,2.513991163,3.434607646,1.366197183
